total_txns,flagged,flagged_pct,p50_latency_ms,p95_latency_ms,precision,recall,fpr,fraud_prevented_usd,arms,rules_top,drift_metrics_present,date,system
0,0,0.0,,,,,,,,[],True,2025-10-17,fraud
0,0,0.0,,,,,,,,[],True,2025-10-18,fraud
0,0,0.0,,,,,,,,[],True,2025-10-22,fraud
0,0,0.0,,,,,,,,[],True,2025-10-23,fraud
0,0,0.0,,,,,,,,[],True,2025-10-24,fraud
0,0,0.0,,,,,,,,[],True,2025-10-25,fraud
0,0,0.0,,,,,,,,[],True,2025-10-26,fraud
0,0,0.0,,,,,,,,[],True,2025-10-28,fraud
0,0,0.0,,,,,,,,[],True,2025-10-30,fraud
0,0,0.0,,,,,,,,[],True,2025-11-01,fraud
0,0,0.0,,,,,,,,[],True,2025-11-02,fraud
0,0,0.0,,,,,,,,[],True,2025-11-04,fraud
0,0,0.0,,,,,,,,[],True,2025-11-05,fraud
0,0,0.0,,,,,,,,[],True,2025-11-06,fraud
0,0,0.0,,,,,,,,[],True,2025-11-07,fraud
0,0,0.0,,,,,,,,[],True,2025-11-08,fraud
0,0,0.0,,,,,,,,[],True,2025-11-09,fraud
0,0,0.0,,,,,,,,[],True,2025-11-10,fraud
0,0,0.0,,,,,,,,[],True,2025-11-11,fraud
0,0,0.0,,,,,,,,[],True,2025-11-12,fraud
0,0,0.0,,,,,,,,[],True,2025-11-13,fraud
0,0,0.0,,,,,,,,[],True,2025-11-14,fraud
0,0,0.0,,,,,,,,[],True,2025-11-15,fraud
2,0,0.0,3.5,3.95,,,,0.0,"[{""arm"": ""prod"", ""n"": 2, ""flagged"": 0, ""flagged_pct"": 0.0}]",[],True,2025-11-16,fraud
0,0,0.0,,,,,,,,[],True,2025-11-17,fraud
0,0,0.0,,,,,,,,[],True,2025-11-18,fraud
0,0,0.0,,,,,,,,[],True,2025-11-19,fraud
0,0,0.0,,,,,,,,[],True,2025-11-20,fraud
0,0,0.0,,,,,,,,[],True,2025-11-21,fraud
0,0,0.0,,,,,,,,[],True,2025-11-22,fraud
0,0,0.0,,,,,,,,[],True,2025-11-23,fraud
0,0,0.0,,,,,,,,[],True,2025-11-24,fraud
0,0,0.0,,,,,,,,[],True,2025-11-25,fraud
0,0,0.0,,,,,,,,[],True,2025-11-27,fraud
0,0,0.0,,,,,,,,[],True,2025-11-28,fraud
0,0,0.0,,,,,,,,[],True,2025-11-29,fraud
0,0,0.0,,,,,,,,[],True,2025-11-30,fraud
0,0,0.0,,,,,,,,[],True,2025-12-01,fraud
0,0,0.0,,,,,,,,[],True,2025-12-02,fraud
0,0,0.0,,,,,,,,[],True,2025-12-03,fraud
0,0,0.0,,,,,,,,[],True,2025-12-04,fraud
0,0,0.0,,,,,,,,[],True,2025-12-05,fraud
0,0,0.0,,,,,,,,[],True,2025-12-06,fraud
0,0,0.0,,,,,,,,[],True,2025-12-07,fraud
0,0,0.0,,,,,,,,[],True,2025-12-08,fraud
0,0,0.0,,,,,,,,[],True,2025-12-09,fraud
0,0,0.0,,,,,,,,[],True,2025-12-10,fraud
0,0,0.0,,,,,,,,[],True,2025-12-11,fraud
0,0,0.0,,,,,,,,[],True,2025-12-12,fraud
0,0,0.0,,,,,,,,[],True,2025-12-13,fraud
0,0,0.0,,,,,,,,[],True,2025-12-14,fraud
0,0,0.0,,,,,,,,[],True,2025-12-15,fraud
0,0,0.0,,,,,,,,[],True,2025-12-16,fraud
0,0,0.0,,,,,,,,[],True,2025-12-17,fraud
0,0,0.0,,,,,,,,[],True,2025-12-19,fraud
0,0,0.0,,,,,,,,[],True,2025-12-20,fraud
0,0,0.0,,,,,,,,[],True,2025-12-21,fraud
0,0,0.0,,,,,,,,[],True,2025-12-22,fraud
0,0,0.0,,,,,,,,[],True,2025-12-23,fraud
0,0,0.0,,,,,,,,[],True,2025-12-24,fraud
0,0,0.0,,,,,,,,[],True,2025-12-25,fraud
0,0,0.0,,,,,,,,[],True,2025-12-26,fraud
0,0,0.0,,,,,,,,[],True,2025-12-27,fraud
0,0,0.0,,,,,,,,[],True,2025-12-28,fraud
0,0,0.0,,,,,,,,[],True,2025-12-29,fraud
0,0,0.0,,,,,,,,[],True,2026-01-01,fraud
0,0,0.0,,,,,,,,[],True,2026-01-02,fraud
0,0,0.0,,,,,,,,[],True,2026-01-03,fraud
0,0,0.0,,,,,,,,[],True,2026-01-04,fraud
0,0,0.0,,,,,,,,[],True,2026-01-05,fraud
0,0,0.0,,,,,,,,[],True,2026-01-06,fraud
0,0,0.0,,,,,,,,[],True,2026-01-07,fraud
0,0,0.0,,,,,,,,[],True,2026-01-08,fraud
0,0,0.0,,,,,,,,[],True,2026-01-09,fraud
0,0,0.0,,,,,,,,[],True,2026-01-10,fraud
