date,requests,flagged_rate,review_rate,mean_proba,p95_latency_ms,ref_date,proba_col,latency_col,system
2025-10-17,0,0.0,0.0,0.0,0.0,2025-10-16,,,fraud
2025-10-18,0,0.0,0.0,0.0,0.0,2025-10-17,,,fraud
2025-10-22,0,0.0,0.0,0.0,0.0,2025-10-21,,,fraud
2025-10-23,0,0.0,0.0,0.0,0.0,2025-10-22,,,fraud
2025-10-24,0,0.0,0.0,0.0,0.0,2025-10-23,,,fraud
2025-10-25,0,0.0,0.0,0.0,0.0,2025-10-24,,,fraud
2025-10-26,0,0.0,0.0,0.0,0.0,2025-10-25,,,fraud
2025-10-28,0,0.0,0.0,0.0,0.0,2025-10-27,,,fraud
2025-10-30,0,0.0,0.0,0.0,0.0,2025-10-29,,,fraud
2025-11-01,0,0.0,0.0,0.0,0.0,2025-10-31,,,fraud
2025-11-02,0,0.0,0.0,0.0,0.0,2025-11-01,,,fraud
2025-11-04,0,0.0,0.0,0.0,0.0,2025-11-03,,,fraud
2025-11-05,0,0.0,0.0,0.0,0.0,2025-11-04,,,fraud
2025-11-06,0,0.0,0.0,0.0,0.0,2025-11-05,,,fraud
2025-11-07,0,0.0,0.0,0.0,0.0,2025-11-06,,,fraud
