date,flagged_rate,precision,recall
2025-10-16,0.033,0.840,0.612
2025-10-17,0.033,0.837,0.611
2025-10-18,0.032,0.840,0.613
2025-10-19,0.032,0.839,0.610
2025-10-20,0.033,0.841,0.608
2025-10-21,0.033,0.839,0.609
2025-10-22,0.034,0.837,0.609
2025-10-23,0.034,0.835,0.611
2025-10-24,0.033,0.833,0.612
2025-10-25,0.034,0.832,0.611
2025-10-26,0.035,0.832,0.610
2025-10-27,0.035,0.830,0.608
2025-10-28,0.035,0.831,0.607
2025-10-29,0.034,0.828,0.608
2025-10-30,0.034,0.831,0.610
2025-10-31,0.033,0.829,0.611
2025-11-01,0.032,0.827,0.613
2025-11-02,0.032,0.827,0.615
2025-11-03,0.033,0.825,0.613
2025-11-04,0.033,0.824,0.613
2025-11-05,0.033,0.825,0.615
2025-11-06,0.032,0.825,0.614
2025-11-07,0.033,0.823,0.613
2025-11-08,0.033,0.823,0.611
2025-11-09,0.033,0.825,0.611
2025-11-10,0.033,0.826,0.608
2025-11-11,0.034,0.828,0.611
2025-11-12,0.035,0.830,0.609
2025-11-13,0.035,0.828,0.608
2025-11-14,0.034,0.827,0.611
