date,precision,recall
2025-10-17,0.838,0.610
2025-10-18,0.831,0.617
2025-10-19,0.829,0.613
2025-10-20,0.831,0.618
2025-10-21,0.832,0.619
2025-10-22,0.829,0.619
2025-10-23,0.827,0.622
2025-10-24,0.830,0.622
2025-10-25,0.824,0.619
2025-10-26,0.824,0.619
2025-10-27,0.827,0.618
2025-10-28,0.835,0.621
2025-10-29,0.839,0.624
2025-10-30,0.837,0.630
2025-10-31,0.842,0.631
2025-11-01,0.840,0.634
2025-11-02,0.839,0.634
2025-11-03,0.841,0.637
2025-11-04,0.842,0.635
2025-11-05,0.835,0.630
2025-11-06,0.835,0.636
2025-11-07,0.835,0.637
2025-11-08,0.836,0.634
2025-11-09,0.844,0.641
2025-11-10,0.846,0.643
2025-11-11,0.841,0.645
2025-11-12,0.838,0.644
2025-11-13,0.839,0.641
2025-11-14,0.834,0.646
2025-11-15,0.829,0.648
